Transaction ID,Items
T1,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, Anna Karenina, Pride and Prejudice"
T2,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, Crime and Punishment, Pride and Prejudice, Anna Karenina"
T3,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, Brave New World, Moby Dick, A Tale of Two Cities, Anna Karenina"
T4,"The Odyssey,Harry Potter, Pride and Prejudice, The Hobbit, Brave New World, Anna Karenina"
T5,"The Odyssey, Anna Karenina, The Brothers Karamazov, A Tale of Two Cities, Ulysses, War and Peace"
T6,"The Odyssey,Anna Karenina, Crime and Punishment, The Brothers Karamazov, The Odyssey, Pride and Prejudice, Anna Karenina"
T7,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, Harry Potter, Lord of the Rings"
T8,"The Odyssey,Anna Karenina, Brave New World, The Odyssey, A Tale of Two Cities, Pride and Prejudice, Crime and Punishment"
T9,"The Odyssey,Ulysses, War and Peace, Anna Karenina, Lord of the Rings, Moby Dick, Harry Potter"
T10,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, Ulysses, The Brothers Karamazov, Crime and Punishment, Anna Karenina"
T11,"The Odyssey,Brave New World, A Tale of Two Cities, Moby Dick, Ulysses, The Iliad"
T12,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, The Catcher in the Rye, Brave New World, Anna Karenina"
T13,"The Odyssey,The Great Gatsby, To Kill a Mockingbird, 1984, The Iliad, Ulysses, Anna Karenina"
T14,"The Hobbit, Crime and Punishment, The Odyssey, The Iliad, Brave New World, Anna Karenina"
T15,"Harry Potter, Brave New World, The Odyssey, Ulysses, Anna Karenina, Pride and Prejudice, Anna Karenina"
T16,"The Great Gatsby, To Kill a Mockingbird, 1984, Lord of the Rings, The Brothers Karamazov, Anna Karenina"
T17,"Crime and Punishment, Pride and Prejudice, A Tale of Two Cities, The Catcher in the Rye, The Iliad"
T18,"The Catcher in the Rye, The Hobbit, Crime and Punishment, Moby Dick, War and Peace, Anna Karenina"
T19,"The Great Gatsby, To Kill a Mockingbird, 1984, Crime and Punishment, A Tale of Two Cities"
T20,"The Great Gatsby, To Kill a Mockingbird, 1984, Anna Karenina, War and Peace, The Iliad, Anna Karenina"
