Transaction ID,Items
T1,"Hoodie, Jacket, Socks"
T2,"Hat, Modern Pants"
T3,"Running Shoe, Socks, Jacket, Sweatshirts"
T4,"Running Shoe, Socks,Jacket, Hoodie, Sports Bag, Sweatshirts, Hat"
T5,"Hat, Running Shoe, Sports Bag, Socks"
T6,"Running Shoe, Socks,Sports Bag, Hat"
T7,"Running Shoe, T-shirt, Hat, Modern Pants, Shorts, Hoodie"
T8,"T-shirt, Hat, Jacket, Shorts"
T9,"Running Shoe, Socks,T-shirt, Running Shoe, Hat, Sports Bag"
T10,"Running Shoe, Socks,Modern Pants, Hoodie"
T11," Socks,Jacket, Sweatshirts, Running Shoe, Socks"
T12,"Running Shoe, Socks,Jacket, Shorts, Sweatshirts, Socks, T-shirt"
T13,"Jacket, Running Shoe, Socks, T-shirt"
T14,"Shorts, Socks, Sports Bag, Modern Pants, Hoodie"
T15,"Running Shoe, Socks,Hoodie, T-shirt, Jacket, Shorts, Socks, Sports Bag"
T16,"Running Shoe, Socks,Modern Pants, Hat, Jacket, Socks, Running Shoe"
T17,"Modern Pants, Jacket, T-shirt, Shorts"
T18,"Sports Bag, Modern Pants"
T19,"Running Shoe, Socks,Hat, Socks, Hoodie"
T20,"Jacket, Sports Bag, Modern Pants, T-shirt, Shorts, Sweatshirts"
