Transaction ID,Items
T1,"Jacket, Bananas, Onions, Chicken, Beef"
T2,"Bread, Milk, Eggs, Garlic, Carrots"
T3,"Butter, Chicken, Pasta, Tomatoes, Beef, Onions"
T4,"Broccoli, Potatoes, Pasta, Jacket"
T5,"Tomatoes, Bananas, Cheese, Fish, Pasta, Potatoes"
T6,"Bread, Milk, Eggs, Butter, Bananas"
T7,"Bread, Milk, Eggs, Rice, Cereal, Jacket"
T8,"Fish, Jacket, Tomatoes, Cereal"
T9,"Bread, Milk, Eggs, Chicken, Beef, Butter"
T10,"Onions, Garlic, Butter, Pasta"
T11,"Carrots, Fish, Butter, Pasta, Bananas, Beef"
T12,"Bread, Milk, Eggs, Pasta, Cereal"
T13,"Bread, Milk, Eggs, Apples, Butter, Cheese"
T14,"Bread, Milk, Eggs, Onions, Jacket"
T15,"Bread, Milk, Eggs, Bananas, Garlic"
T16,"Butter, Beef, Garlic, Yogurt, Rice, Chicken"
T17,"Bread, Milk, Eggs, Cereal, Potatoes"
T18,"Garlic, Onions, Bananas, Pasta"
T19,"Bread, Milk, Eggs, Potatoes, Cheese, Beef"
T20,"Pasta, Cheese, Bananas, Fish, Cereal, Broccoli"
